Age,Intervention,Metric,value
7,RSVpreF,Deaths,2.442861333
8,RSVpreF,Deaths,2.229110967
9,RSVpreF,Deaths,2.5650044
10,RSVpreF,Deaths,1.832146
11,RSVpreF,Deaths,1.832146
0,Nirsevimab,Deaths,2.85891133
1,Nirsevimab,Deaths,5.454750327
2,Nirsevimab,Deaths,4.597511507
3,Nirsevimab,Deaths,3.470206192
4,Nirsevimab,Deaths,3.064602763
5,Nirsevimab,Deaths,2.469051068
6,Nirsevimab,Deaths,2.164262495
7,Nirsevimab,Deaths,1.80310297
8,Nirsevimab,Deaths,1.74464491
9,Nirsevimab,Deaths,2.270246136
10,Nirsevimab,Deaths,1.728274989
11,Nirsevimab,Deaths,1.791093281
0,Combined,Deaths,0.29053068
1,Combined,Deaths,1.343186465
2,Combined,Deaths,2.372606872
3,Combined,Deaths,2.161042766
4,Combined,Deaths,1.961184658
5,Combined,Deaths,1.609703569
6,Combined,Deaths,1.39709139
7,Combined,Deaths,1.163344607
8,Combined,Deaths,1.260178854
9,Combined,Deaths,1.975487873
10,Combined,Deaths,1.624403978
11,Combined,Deaths,1.750040563
