Age,Intervention,Metric,value oct,value nov,value dec,value jan,value feb,value mar,value apr,value may,value june,value jul,value aug,value sept
7,Nirsevimab,ED,457.3465066,1189.611591,3141.115409,3921.305778,3410.637062,2206.712716,589.0212923,166.7649665,73.12002378,52.74904172,57.26452389,125.9716901
8,Nirsevimab,ED,457.579965,1450.004323,3429.140724,3686.497558,3515.122987,2180.462047,591.5669221,166.5158927,73.15734883,52.77596814,57.29375529,126.0359939
9,Nirsevimab,ED,484.6411677,1535.757336,4055.097539,3921.305778,3410.637062,2206.712716,589.0212923,166.7649665,73.12002378,55.89713008,60.68209841,133.4897416
10,Nirsevimab,ED,484.6411677,1535.757336,4055.097539,4359.4324,3515.122987,2180.462047,591.5669221,166.5158927,73.15734883,52.77596814,60.68209841,133.4897416
11,Nirsevimab,ED,484.6411677,1535.757336,4055.097539,4359.4324,3791.706782,2206.712716,589.0212923,166.7649665,73.12002378,55.89713008,60.68209841,133.4897416
0,Combined,ED,219.3419078,695.0625876,1835.281214,1973.018974,1716.07419,1064.49608,738.2980161,207.8181667,91.12027307,65.73448471,71.36156123,156.9826459
1,Combined,ED,578.3384049,822.1272383,2170.789656,2333.707308,2029.790352,1259.097005,336.0813303,210.8829593,92.46406675,66.70390219,72.41396386,159.2977431
2,Combined,ED,219.3419078,695.0625876,3139.15063,3374.743723,2935.253374,1820.76377,486.0028316,136.8014206,94.15086637,67.92076535,73.73499429,162.2037733
3,Combined,ED,597.2939684,822.1272383,2170.789656,4164.185152,3621.886437,2246.688365,599.6916926,168.8028755,74.01356851,68.89018283,74.78739692,164.5188705
4,Combined,ED,219.3419078,695.0625876,3139.15063,3374.743723,3970.785497,2463.113554,657.4604469,185.0637842,81.14335154,58.53709851,75.36219471,165.7833226
5,Combined,ED,626.6911651,822.1272383,2170.789656,4164.185152,3621.886437,2552.852543,681.4138029,191.8062411,84.09965955,60.66978948,65.86331232,172.6160451
6,Combined,ED,242.3205838,767.8786682,2803.183909,3013.562717,3238.539191,2008.894659,555.324249,156.3142048,68.53776674,49.44338541,53.67589311,118.0773455
7,Combined,ED,430.0518456,843.465845,2227.133279,3483.179157,3029.567343,2061.395997,550.2329893,156.8123525,68.75618535,49.60095336,53.84694937,118.4536386
8,Combined,ED,430.5187623,1364.25131,2803.183909,3013.562717,3238.539191,2008.894659,555.324249,156.3142048,68.83083544,49.6548062,53.90541217,118.5822463
9,Combined,ED,484.6411677,1535.757336,4055.097539,3483.179157,3029.567343,2061.395997,550.2329893,156.8123525,68.75618535,55.89713008,60.68209841,133.4897416
10,Combined,ED,484.6411677,1535.757336,4055.097539,4359.4324,3238.539191,2008.894659,555.324249,156.3142048,68.83083544,49.6548062,60.68209841,133.4897416
11,Combined,ED,484.6411677,1535.757336,4055.097539,4359.4324,3791.706782,2061.395997,550.2329893,156.8123525,68.75618535,55.89713008,60.68209841,133.4897416
0,no intervention,Hospitalizations,147.0635267,466.0229159,1230.512357,1322.862245,1150.586886,713.7192767,190.5077392,53.62464512,23.5123444,16.96188775,18.41387814,40.50723193
1,no intervention,Hospitalizations,259.8679365,823.4836752,2174.371266,2337.557718,2033.139326,1261.174404,336.6358347,94.7571854,41.54738129,29.97242664,32.53815966,71.57812005
2,no intervention,Hospitalizations,186.3361731,590.4722173,1559.115088,1676.126595,1457.845883,904.3147653,241.3819651,67.94486285,29.79120909,21.49148277,23.3312206,51.32450409
3,no intervention,Hospitalizations,130.3517623,413.0657664,1090.681407,1172.53699,1019.838376,632.6148134,168.8591325,47.53093544,20.84048708,15.0344005,16.32139199,35.90413739
4,no intervention,Hospitalizations,113.6399979,360.1086168,950.8504573,1022.211735,889.0898661,551.5103501,147.2105258,41.43722577,18.16862976,13.10691326,14.22890583,31.30104285
5,no intervention,Hospitalizations,91.079116,288.616465,762.0786754,819.2726406,712.579378,442.0193248,117.9849067,33.21071771,14.56162238,10.50480548,11.40404953,25.08686523
6,no intervention,Hospitalizations,80.21646913,254.1943178,671.1885581,721.5612248,627.5928466,389.3014236,103.9133123,29.24980643,12.82491513,9.251938771,10.04393353,22.09485378
7,no intervention,Hospitalizations,66.84705761,211.8285981,559.3237984,601.3010206,522.9940389,324.417853,86.59442692,24.37483869,10.68742927,7.709948976,8.369944608,18.41237815
8,no intervention,Hospitalizations,60.99794007,193.2935958,510.3829661,548.6871813,477.2320605,296.0312909,79.01741457,22.2420403,9.75227921,7.035328441,7.637574455,16.80129506
9,no intervention,Hospitalizations,70.18941049,222.420028,587.2899884,631.3660717,549.1437408,340.6387457,90.92414827,25.59358062,11.22180073,8.095446425,8.788441839,19.33299706
10,no intervention,Hospitalizations,50.13529321,158.8714486,419.4928488,450.9757655,392.2455291,243.3133898,64.94582019,18.28112902,8.015571954,5.782461732,6.277458456,13.80928361
11,no intervention,Hospitalizations,50.13529321,158.8714486,419.4928488,450.9757655,392.2455291,243.3133898,64.94582019,18.28112902,8.015571954,5.782461732,6.277458456,13.80928361
0,RSVpreF,Hospitalizations,97.09326014,307.6744126,812.400321,873.3709232,759.6324817,471.2067834,125.7756963,35.40369073,15.5231567,11.19845971,12.15708272,26.7434033
1,RSVpreF,Hospitalizations,184.6442125,585.1106405,1544.958088,1660.907113,1444.608423,896.1034508,239.1901804,67.32791324,29.52070042,21.29633687,23.11936959,50.85846985
2,RSVpreF,Hospitalizations,144.1669169,456.8439807,1206.275795,1296.806731,1127.924561,699.6616353,186.7554383,52.56843709,23.0492378,16.62780102,18.05119255,39.70938863
3,RSVpreF,Hospitalizations,107.4112197,340.3705251,898.7329222,966.1827816,840.3575212,521.2812433,139.1416968,39.16598947,17.17278,12.38850375,13.44899823,29.58538589
4,RSVpreF,Hospitalizations,96.76365763,306.6299502,809.6424655,870.4060907,757.0537572,469.6071777,125.3487256,35.28350581,15.47046024,11.1604443,12.11581307,26.65261747
5,RSVpreF,Hospitalizations,91.079116,288.616465,762.0786754,819.2726406,712.579378,442.0193248,117.9849067,33.21071771,14.56162238,10.50480548,11.40404953,25.08686523
6,RSVpreF,Hospitalizations,80.21646913,254.1943178,671.1885581,721.5612248,627.5928466,389.3014236,103.9133123,29.24980643,12.82491513,9.251938771,10.04393353,22.09485378
7,RSVpreF,Hospitalizations,66.84705761,211.8285981,559.3237984,601.3010206,522.9940389,324.417853,86.59442692,24.37483869,10.68742927,7.709948976,8.369944608,18.41237815
8,RSVpreF,Hospitalizations,60.99794007,193.2935958,510.3829661,548.6871813,477.2320605,296.0312909,79.01741457,22.2420403,9.75227921,7.035328441,7.637574455,16.80129506
9,RSVpreF,Hospitalizations,70.18941049,222.420028,587.2899884,631.3660717,549.1437408,340.6387457,90.92414827,25.59358062,11.22180073,8.095446425,8.788441839,19.33299706
10,RSVpreF,Hospitalizations,50.13529321,158.8714486,419.4928488,450.9757655,392.2455291,243.3133898,64.94582019,18.28112902,8.015571954,5.782461732,6.277458456,13.80928361
11,RSVpreF,Hospitalizations,50.13529321,158.8714486,419.4928488,450.9757655,392.2455291,243.3133898,64.94582019,18.28112902,8.015571954,5.782461732,6.277458456,13.80928361
0,Nirsevimab,Hospitalizations,73.53176337,233.0114579,615.2561783,661.4311227,575.2934428,356.8596383,190.5077392,53.62464512,23.5123444,16.96188775,18.41387814,40.50723193
1,Nirsevimab,Hospitalizations,259.8679365,452.2722031,1194.204224,1283.829189,1116.637075,692.6599072,184.8865195,94.7571854,41.54738129,29.97242664,32.53815966,71.57812005
2,Nirsevimab,Hospitalizations,93.16808655,295.2361087,1077.775882,1158.662907,1007.771104,625.1293773,166.8611011,46.96852405,29.79120909,21.49148277,23.3312206,51.32450409
3,Nirsevimab,Hospitalizations,130.3517623,226.8632273,599.0220543,936.8550836,814.8491474,505.4581722,134.9181629,37.9771375,16.65151413,15.0344005,16.32139199,35.90413739
4,Nirsevimab,Hospitalizations,56.81999897,180.0543084,657.298296,706.6284992,759.3816035,471.0511614,125.7341573,35.39199821,15.51802999,11.19476128,14.22890583,31.30104285
5,Nirsevimab,Hospitalizations,91.079116,158.5134088,418.547461,654.5974623,569.3497248,387.4002823,103.4058549,29.10696591,12.76228505,9.206757217,9.994884294,25.08686523
6,Nirsevimab,Hospitalizations,40.10823457,127.0971589,463.9752678,498.7965877,536.034073,332.5067022,91.91573776,25.87269597,11.34418208,8.183732758,8.884285756,19.5438365
7,Nirsevimab,Hospitalizations,59.31749595,116.3401166,307.1907971,480.4385044,417.8713577,284.3304824,75.89420543,21.62929001,9.483611772,6.841510808,7.42716543,16.33843291
8,Nirsevimab,Hospitalizations,54.18598215,171.7074924,352.8145265,379.2932385,407.609243,252.8436381,69.89425892,19.67402923,8.663191357,6.249656642,6.784646705,14.92500686
9,Nirsevimab,Hospitalizations,70.18941049,222.420028,587.2899884,504.4604296,438.7649255,298.5470065,79.6889157,22.71075451,9.957792361,8.095446425,8.788441839,19.33299706
10,Nirsevimab,Hospitalizations,50.13529321,158.8714486,419.4928488,450.9757655,335.0212957,207.8166889,57.4473361,16.17043498,7.120431252,5.136704089,6.277458456,13.80928361
11,Nirsevimab,Hospitalizations,50.13529321,158.8714486,419.4928488,450.9757655,392.2455291,213.2478618,56.92065407,16.2219675,7.112708829,5.782461732,6.277458456,13.80928361
0,Combined,Hospitalizations,0,0,0,0,0,0,161.1175424,45.35181127,19.88502494,14.34512676,15.57311427,34.25806051
1,Combined,Hospitalizations,225.7142167,81.06073098,214.0371808,230.1006602,200.1348234,124.1454107,33.13720436,82.30351221,36.08692459,26.03323402,28.26175989,62.17080692
2,Combined,Hospitalizations,0,0,596.4366766,641.1992184,557.6963242,345.9439892,92.34023719,25.99218525,26.73016151,19.28323231,20.93393702,46.05090984
3,Combined,Hospitalizations,119.9361006,40.66068821,107.3627016,701.173177,609.8599191,378.301531,100.9771934,28.42333955,12.46254119,13.83308779,15.01724316,33.03524369
4,Combined,Hospitalizations,0,0,363.7461346,391.0452633,623.2018015,386.5776193,103.1862676,29.04515588,12.73518373,9.187206228,13.26950135,29.19052493
5,Combined,Hospitalizations,91.079116,28.41035266,75.01624664,489.9222839,426.1200717,332.7812398,88.8268031,25.00321411,10.96294772,7.908708954,8.585719059,25.08686523
6,Combined,Hospitalizations,0,0,256.7619774,276.0319505,444.4752994,275.7119807,79.91816321,22.49558552,9.863449037,7.115526744,7.724637983,16.99281922
7,Combined,Hospitalizations,51.78793428,20.85163498,55.0577957,359.5759882,312.7486764,244.2431118,65.19398393,18.88374132,8.279794273,5.97307264,6.484386252,14.26448768
8,Combined,Hospitalizations,47.37402423,150.121389,195.246087,209.8992957,337.9864256,209.6559854,60.77110328,17.10601816,7.574103503,5.463984843,5.931718954,13.04871867
9,Combined,Hospitalizations,70.18941049,222.420028,587.2899884,377.5547876,328.3861103,256.4552674,68.45368312,19.82792839,8.693783986,8.095446425,8.788441839,19.33299706
10,Combined,Hospitalizations,50.13529321,158.8714486,419.4928488,450.9757655,277.7970622,172.319988,49.94885201,14.05974095,6.225290551,4.490946446,6.277458456,13.80928361
11,Combined,Hospitalizations,50.13529321,158.8714486,419.4928488,450.9757655,392.2455291,183.1823338,48.89548794,14.16280599,6.209845705,5.782461732,6.277458456,13.80928361
0,no intervention,Deaths,0.147063527,0.466022916,1.230512357,1.322862245,1.150586886,0.713719277,0.190507739,0.053624645,0.023512344,0.016961888,0.018413878,0.040507232
1,no intervention,Deaths,0.259867936,0.823483675,2.174371266,2.337557718,2.033139326,1.261174404,0.336635835,0.094757185,0.041547381,0.029972427,0.03253816,0.07157812
2,no intervention,Deaths,0.186336173,0.590472217,1.559115088,1.676126595,1.457845883,0.904314765,0.241381965,0.067944863,0.029791209,0.021491483,0.023331221,0.051324504
3,no intervention,Deaths,0.130351762,0.413065766,1.090681407,1.17253699,1.019838376,0.632614813,0.168859133,0.047530935,0.020840487,0.015034401,0.016321392,0.035904137
4,no intervention,Deaths,0.113639998,0.360108617,0.950850457,1.022211735,0.889089866,0.55151035,0.147210526,0.041437226,0.01816863,0.013106913,0.014228906,0.031301043
5,no intervention,Deaths,0.091079116,0.288616465,0.762078675,0.819272641,0.712579378,0.442019325,0.117984907,0.033210718,0.014561622,0.010504805,0.01140405,0.025086865
6,no intervention,Deaths,0.080216469,0.254194318,0.671188558,0.721561225,0.627592847,0.389301424,0.103913312,0.029249806,0.012824915,0.009251939,0.010043934,0.022094854
7,no intervention,Deaths,0.066847058,0.211828598,0.559323798,0.601301021,0.522994039,0.324417853,0.086594427,0.024374839,0.010687429,0.007709949,0.008369945,0.018412378
8,no intervention,Deaths,0.06099794,0.193293596,0.510382966,0.548687181,0.47723206,0.296031291,0.079017415,0.02224204,0.009752279,0.007035328,0.007637574,0.016801295
9,no intervention,Deaths,0.07018941,0.222420028,0.587289988,0.631366072,0.549143741,0.340638746,0.090924148,0.025593581,0.011221801,0.008095446,0.008788442,0.019332997
10,no intervention,Deaths,0.050135293,0.158871449,0.419492849,0.450975765,0.392245529,0.24331339,0.06494582,0.018281129,0.008015572,0.005782462,0.006277458,0.013809284
11,no intervention,Deaths,0.050135293,0.158871449,0.419492849,0.450975765,0.392245529,0.24331339,0.06494582,0.018281129,0.008015572,0.005782462,0.006277458,0.013809284
